都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,5-9歳の男性,10-14歳の男性,15-19歳の男性,20-24歳の男性,25-29歳の男性,30-34歳の男性,35-39歳の男性,40-44歳の男性,45-49歳の男性,50-54歳の男性,55-59歳の男性,60-64歳の男性,65-69歳の男性,70-74歳の男性,75-79歳の男性,80-84歳の男性,85歳の男性以上,0-4歳の女性,5-9歳の女性,10-14歳の女性,15-19歳の女性,20-24歳の女性,25-29歳の女性,30-34歳の女性,35-39歳の女性,40-44歳の女性,45-49歳の女性,50-54歳の女性,55-59歳の女性,60-64歳の女性,65-69歳の女性,70-74歳の女性,75-79歳の女性,80-84歳の女性,85歳の女性以上,世帯数,備考
82333,1,茨城県,行方市,2021/2/26,富田,748,372,376,9,6,13,13,20,10,15,20,27,25,24,29,26,45,37,23,14,16,8,7,11,19,9,14,8,12,18,21,22,23,28,43,36,31,24,42,281,
82333,2,茨城県,行方市,2021/2/26,粗毛,196,100,96,1,2,5,4,4,3,0,6,4,7,9,11,10,12,7,5,4,6,1,1,2,3,1,5,3,4,7,5,4,5,9,10,8,6,7,15,80,
82333,3,茨城県,行方市,2021/2/26,麻生,"2,910","1,429","1,481",47,48,55,46,58,54,83,70,96,107,103,88,125,124,129,94,60,42,22,49,55,58,49,63,64,72,85,84,87,95,102,124,134,114,93,131,"1,192",
82333,4,茨城県,行方市,2021/2/26,矢幡,663,335,328,6,11,25,21,10,6,12,27,25,17,17,28,27,30,30,21,11,11,9,14,12,18,7,12,10,15,22,17,13,24,22,42,23,20,17,31,216,
82333,5,茨城県,行方市,2021/2/26,石神,579,304,275,8,19,20,15,17,14,23,9,16,15,19,17,26,25,25,10,12,14,4,11,12,8,8,7,17,10,15,18,16,17,23,20,22,12,18,37,192,
82333,6,茨城県,行方市,2021/2/26,根小屋,284,149,135,4,1,6,13,10,10,8,5,7,8,9,12,6,15,14,7,11,3,4,2,1,5,8,4,3,4,8,8,12,8,12,12,14,8,11,11,109,
82333,7,茨城県,行方市,2021/2/26,蔵川,267,142,125,2,2,6,4,6,7,8,12,9,10,9,8,15,11,16,3,2,12,1,4,3,2,3,5,2,6,6,6,7,9,11,18,11,7,8,16,114,
82333,8,茨城県,行方市,2021/2/26,白浜,407,205,202,6,9,6,3,10,6,6,16,16,13,15,11,18,27,14,12,2,15,3,9,8,12,5,13,11,9,10,7,9,7,22,23,13,8,9,24,145,
82333,9,茨城県,行方市,2021/2/26,宇崎,382,198,184,5,9,6,8,4,6,8,16,15,12,15,14,13,26,19,11,6,5,6,5,7,6,11,5,5,8,14,10,9,10,14,25,15,9,10,15,135,
82333,10,茨城県,行方市,2021/2/26,岡,202,92,110,2,3,2,1,2,5,1,9,10,3,4,7,11,10,13,4,3,2,5,2,6,1,1,1,4,5,9,6,3,6,13,15,9,3,4,17,72,
82333,11,茨城県,行方市,2021/2/26,青沼,594,267,327,9,10,14,16,13,6,10,14,18,21,18,21,16,21,26,12,10,12,9,14,20,20,7,7,13,21,25,20,14,14,21,31,32,17,12,30,224,
82333,12,茨城県,行方市,2021/2/26,四鹿,563,271,292,7,9,10,14,10,9,13,12,16,17,18,17,30,24,25,16,13,11,6,17,6,9,22,14,16,13,13,14,17,17,26,22,27,13,12,28,226,
82333,13,茨城県,行方市,2021/2/26,杉平,108,50,58,1,2,0,0,2,2,2,3,3,3,2,6,3,5,8,2,1,5,1,3,3,2,2,2,0,2,1,1,2,2,6,6,9,2,5,9,48,
82333,14,茨城県,行方市,2021/2/26,小牧,294,152,142,2,5,7,8,7,5,8,7,10,9,11,10,14,10,22,7,3,7,3,11,5,12,4,3,5,6,9,10,8,6,8,14,17,9,7,5,101,
82333,15,茨城県,行方市,2021/2/26,板峰,39,22,17,0,1,0,1,1,1,1,0,2,0,2,2,2,2,2,2,1,2,0,1,0,1,0,3,0,1,0,0,3,0,0,0,2,1,2,3,17,
82333,16,茨城県,行方市,2021/2/26,新宮,279,124,155,3,4,7,3,5,4,6,4,9,8,12,14,9,6,13,7,6,4,4,2,8,11,7,4,7,4,6,17,7,5,11,11,14,7,14,16,101,
82333,17,茨城県,行方市,2021/2/26,天掛,237,121,116,0,6,11,5,4,3,5,6,7,8,8,9,8,15,8,7,6,5,3,3,6,7,3,3,4,3,7,9,5,4,12,7,11,6,10,13,74,
82333,18,茨城県,行方市,2021/2/26,籠田,172,85,87,2,1,4,5,3,1,5,2,3,3,9,7,12,5,7,5,8,3,2,1,2,4,0,1,2,2,2,10,5,8,6,6,5,11,10,10,60,
82333,19,茨城県,行方市,2021/2/26,於下,606,302,304,13,16,20,7,6,6,16,20,21,25,14,15,25,28,32,14,11,13,15,14,13,14,12,10,12,22,18,13,9,19,31,24,15,18,17,28,217,
82333,20,茨城県,行方市,2021/2/26,行方,516,260,256,8,9,13,10,6,14,12,13,15,14,14,16,31,36,15,12,10,12,3,7,7,5,6,7,11,15,7,25,14,20,29,18,19,11,17,35,199,
82333,21,茨城県,行方市,2021/2/26,船子,142,77,65,4,1,2,4,0,3,7,4,6,3,2,2,9,8,8,3,6,5,1,5,4,0,0,0,3,7,1,4,2,4,10,7,3,2,5,7,53,
82333,22,茨城県,行方市,2021/2/26,五町田,300,149,151,4,2,5,8,4,7,7,12,9,6,6,11,11,19,19,5,8,6,4,4,3,6,4,3,5,9,6,6,11,6,14,20,11,11,11,17,107,
82333,23,茨城県,行方市,2021/2/26,島並,671,330,341,6,12,11,14,17,11,11,22,19,25,18,21,28,30,34,15,16,20,9,12,15,20,14,10,12,21,16,21,24,20,20,27,38,17,17,28,232,
82333,24,茨城県,行方市,2021/2/26,南,510,254,256,10,9,9,9,8,15,17,15,10,16,16,18,20,18,27,12,9,16,6,7,6,6,8,9,13,17,10,14,16,15,21,18,24,19,21,26,190,
82333,25,茨城県,行方市,2021/2/26,橋門,150,75,75,1,0,7,3,3,2,1,0,9,3,6,7,5,6,9,6,3,4,0,4,1,5,4,3,2,0,5,6,3,4,3,8,9,4,5,9,59,
82333,26,茨城県,行方市,2021/2/26,小高,846,423,423,9,11,12,6,30,44,36,29,21,19,17,23,40,40,38,16,15,17,9,10,18,19,18,23,20,27,21,18,23,31,38,33,32,16,29,38,332,
82333,27,茨城県,行方市,2021/2/26,井貝,474,233,241,5,6,6,16,13,6,10,11,20,19,16,13,21,22,14,15,9,11,2,9,8,10,35,5,4,9,15,17,12,12,13,20,28,9,16,17,191,
82333,1001,茨城県,行方市,2021/2/26,吉川,334,167,167,1,3,7,5,13,12,5,9,10,14,7,11,13,17,16,7,4,13,1,5,6,7,4,10,6,7,7,7,9,15,13,15,12,7,12,24,123,
82333,1002,茨城県,行方市,2021/2/26,繁昌,873,438,435,6,7,15,14,14,19,27,19,34,38,34,21,28,42,46,29,20,25,5,12,16,18,17,15,13,16,20,32,24,19,25,53,48,34,25,43,330,
82333,1003,茨城県,行方市,2021/2/26,中根,294,161,133,4,4,6,4,10,7,11,9,11,12,13,6,8,21,15,6,9,5,7,4,5,7,4,3,5,9,5,9,5,11,6,12,9,10,7,15,106,
82333,1004,茨城県,行方市,2021/2/26,山田,"1,346",657,689,18,30,22,25,32,36,34,33,36,40,42,41,46,56,57,47,26,36,13,23,35,29,27,21,21,32,41,42,36,47,47,42,71,43,37,82,549,
82333,1005,茨城県,行方市,2021/2/26,行戸,686,339,347,9,14,15,15,17,11,20,26,20,25,11,21,29,39,33,10,15,9,6,11,22,15,12,12,12,33,16,24,17,15,28,37,25,12,20,30,255,
82333,1006,茨城県,行方市,2021/2/26,小幡,859,451,408,12,14,11,18,22,14,24,28,32,22,19,26,47,47,54,19,18,24,9,5,12,16,13,18,13,21,16,25,22,33,36,45,30,20,28,46,315,
82333,1007,茨城県,行方市,2021/2/26,南高岡,337,181,156,4,1,3,4,15,17,6,11,12,9,8,13,16,21,18,9,5,9,6,6,4,6,10,7,3,10,9,6,4,11,12,20,14,6,6,16,139,
82333,1008,茨城県,行方市,2021/2/26,北高岡,168,88,80,5,2,1,2,3,7,7,4,6,8,5,4,5,10,11,5,1,2,3,1,3,5,2,2,3,4,1,7,4,4,5,12,9,4,3,8,63,
82333,1009,茨城県,行方市,2021/2/26,両宿,377,189,188,9,3,7,7,6,10,8,8,16,7,16,13,14,23,16,9,8,9,5,1,4,5,7,6,9,9,12,11,15,10,16,18,21,6,12,21,151,
82333,1010,茨城県,行方市,2021/2/26,内宿,536,302,234,4,12,4,14,22,17,31,22,25,20,23,13,21,21,18,15,14,6,10,6,7,5,16,4,12,11,8,17,13,17,19,17,19,21,13,19,242,
82333,1011,茨城県,行方市,2021/2/26,成田,211,112,99,3,3,6,8,4,4,4,9,8,9,6,8,6,7,9,5,7,6,1,2,6,9,5,2,2,3,4,9,4,9,7,5,10,5,6,10,72,
82333,1012,茨城県,行方市,2021/2/26,三和,538,280,258,7,10,6,11,16,13,11,26,18,12,15,18,22,26,24,13,17,15,7,8,6,13,13,9,8,17,6,18,21,14,17,26,17,21,15,22,189,
82333,1013,茨城県,行方市,2021/2/26,長野江,217,105,112,5,1,2,2,5,5,10,7,8,3,5,7,6,20,13,4,1,1,0,6,3,3,5,4,2,6,7,7,4,8,12,12,8,3,3,19,99,
82333,1014,茨城県,行方市,2021/2/26,次木,528,261,267,3,11,8,11,18,15,19,26,15,15,7,12,15,39,19,12,8,8,8,9,5,16,17,14,22,24,9,8,13,12,22,25,20,13,8,22,241,
82333,1015,茨城県,行方市,2021/2/26,小貫,"1,423",684,739,16,24,22,37,39,26,45,44,45,46,36,40,59,56,57,35,30,27,22,23,21,34,36,41,57,59,33,29,39,47,64,49,55,27,43,60,575,
82333,2001,茨城県,行方市,2021/2/26,荒宿,262,130,132,3,2,4,7,4,3,3,10,10,5,7,7,11,20,13,7,6,8,4,7,7,8,1,2,7,12,7,5,5,6,7,13,13,3,11,14,86,
82333,2002,茨城県,行方市,2021/2/26,藤井,261,137,124,4,4,9,10,7,2,7,10,8,7,6,5,9,13,22,5,5,4,0,3,9,8,2,0,2,9,10,8,6,4,16,13,14,3,7,10,94,
82333,2003,茨城県,行方市,2021/2/26,井上藤井,92,44,48,2,3,2,0,2,1,7,2,3,1,1,3,3,7,2,2,0,3,4,2,1,0,4,2,2,2,2,1,4,2,7,4,4,1,1,5,32,
82333,2004,茨城県,行方市,2021/2/26,井上,541,254,287,6,2,5,5,9,13,18,10,10,17,14,19,28,30,27,18,11,12,12,13,4,9,6,9,14,13,18,9,8,24,28,25,27,15,17,36,193,
82333,2005,茨城県,行方市,2021/2/26,西蓮寺,504,246,258,2,6,9,10,8,4,15,14,10,22,14,21,19,26,27,15,11,13,7,10,8,13,11,6,10,9,12,16,15,19,23,19,24,11,17,28,199,
82333,2006,茨城県,行方市,2021/2/26,手賀,"1,653",840,813,24,32,28,37,40,39,36,43,53,59,45,48,76,79,73,41,28,59,20,24,21,32,27,25,34,51,34,29,50,55,70,82,64,47,50,98,603,
82333,2007,茨城県,行方市,2021/2/26,玉造甲,"3,631","1,800","1,831",51,70,102,84,89,85,103,107,121,132,113,107,130,128,157,90,68,63,70,75,87,85,93,64,85,97,110,112,121,126,119,138,137,92,73,147,"1,449",
82333,2008,茨城県,行方市,2021/2/26,玉造乙,315,159,156,5,4,8,7,9,4,9,6,13,8,7,14,8,23,12,4,9,9,4,5,10,8,4,0,10,14,5,7,5,5,17,12,14,11,9,16,117,
82333,2009,茨城県,行方市,2021/2/26,捻木,215,109,106,2,3,1,2,13,5,5,5,8,4,11,8,10,5,11,5,6,5,0,2,7,3,1,3,6,3,7,8,5,4,12,11,9,6,6,13,89,
82333,2010,茨城県,行方市,2021/2/26,芹沢,"1,441",732,709,24,23,29,46,28,23,33,49,50,70,52,57,57,53,66,31,16,25,17,24,37,33,25,21,33,38,47,50,38,49,56,48,77,35,31,50,611,
82333,2011,茨城県,行方市,2021/2/26,若海,310,150,160,4,10,7,7,9,8,5,6,7,10,11,10,14,14,12,4,7,5,3,6,10,5,10,11,7,5,11,9,13,11,8,13,8,7,7,16,116,
82333,2012,茨城県,行方市,2021/2/26,谷島,268,129,139,8,2,3,6,5,6,12,10,2,10,7,8,10,14,7,9,6,4,8,2,1,4,8,6,7,8,1,9,4,11,14,7,10,11,10,18,111,
82333,2013,茨城県,行方市,2021/2/26,浜,854,440,414,11,16,16,15,33,29,23,28,31,26,28,26,17,34,46,30,19,12,10,16,15,18,14,14,12,21,30,22,18,21,29,37,50,29,16,42,350,
82333,2014,茨城県,行方市,2021/2/26,八木蒔,398,203,195,4,2,3,10,17,9,6,10,14,19,16,12,12,15,24,8,10,12,3,12,7,12,11,8,1,9,9,14,14,8,12,15,16,15,14,15,155,
82333,2015,茨城県,行方市,2021/2/26,羽生,657,338,319,9,13,7,10,22,17,26,12,16,15,25,27,28,29,29,17,20,16,9,10,12,10,14,12,13,20,13,13,16,34,22,25,27,15,24,30,267,
82333,2016,茨城県,行方市,2021/2/26,沖洲,458,240,218,7,4,7,8,8,3,8,21,14,14,14,18,17,28,30,15,12,12,1,7,13,7,5,7,5,12,7,11,8,7,24,24,20,15,13,32,200,
