NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
1,市役所麻生庁舎,シヤクショアソウチョウシャ,茨城県行方市麻生1561-9,,35.990613,140.488991,,0299-72-0811,,82333,茨城県,行方市,,,,,,,,,,300,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
2,麻生中学校,アソウチュウガッコウ,茨城県行方市南327-3,,36.023596,140.477146,,0299-80-8070,,82333,茨城県,行方市,1,1,,1,,1,1,,1,566,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
3,麻生運動場体育館,アソウウンドウジョウタイイクカン,茨城県行方市南269-1,,36.023266,140.475142,,0299-77-0791,,82333,茨城県,行方市,1,1,,1,,1,1,,1,477,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
4,麻生小学校,アソウホウガッコウ,茨城県行方市麻生1147-1,,35.989619,140.485699,,0299-72-0049,,82333,茨城県,行方市,1,1,,1,,1,1,,1,480,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
5,麻生東小学校,アソウヒガシショウガッコウ,茨城県行方市蔵川549,,36.033963,140.528814,,0299-80-7701,,82333,茨城県,行方市,1,1,,1,,1,1,,1,684,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
6,麻生公民館,アソウコウミンカン,茨城県行方市麻生1221,,35.987794,140.487897,,0299-72-1573,,82333,茨城県,行方市,1,1,,1,,1,1,,1,249,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
7,太田地区館,オオタチクカン,茨城県行方市矢幡742,,36.013407,140.531645,,,,82333,茨城県,行方市,,,,,,,,,,36,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
8,大和地区館,ヤマトチクカン,茨城県行方市蔵川438-2,,36.034391,140.530064,,,,82333,茨城県,行方市,,,,,,,,,,31,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
9,小高地区館,オダカチクカン,茨城県行方市小高925,,36.032866,140.471277,,,,82333,茨城県,行方市,,,,,,,,,,132,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
10,麻生温泉「白帆の湯」天王崎観光交流センター,アソウオンセン「シラホノユ」テンノウザキカンコウコウリュウセンター,茨城県行方市麻生421-3,,35.987361,140.475156,,0299-80-6622,,82333,茨城県,行方市,,,,,,,,,,99,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
11,行方市情報交流センター（旧 麻生保健センター）,ナメガタシジョウホウコウリュウセンター（キュウ アソウホケンセンター）,茨城県行方市麻生1570-1,,35.990534,140.489507,,0299-72-0811,,82333,茨城県,行方市,1,1,,1,,1,,,1,44,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
12,西浦地区学習センター,ニシウラチクガクシュウセンター,茨城県行方市行方541,,36.043943,140.454731,,,,82333,茨城県,行方市,,,,,,,,,,100,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
13,麻生幼稚園,アソウヨウチエン,茨城県行方市麻生1147-1,,35.989636,140.48571,,0299-72-0530,,82333,茨城県,行方市,,,,,,,,,,84,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
14,市役所北浦庁舎,シヤクショキタウラチョウシャ,茨城県行方市山田2564-10,,36.084747,140.532553,,0291-35-2111,,82333,茨城県,行方市,,,,,,,,,,235,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
15,北浦中学校,キタウラチュウガッコウ,茨城県行方市内宿390,,36.08953,140.504725,,0291-35-2161,,82333,茨城県,行方市,1,1,,1,,1,1,,1,881,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
16,文化会館,ブンカカイカン,茨城県行方市山田2175,,36.083928,140.532569,,0291-35-2908,,82333,茨城県,行方市,,,,,,,,,,146,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
17,北浦体育館,キタウラタイイクカン,茨城県行方市山田2175,,36.082849,140.53251,,0291-35-2120,,82333,茨城県,行方市,1,1,,1,,1,1,,1,626,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
18,北浦小学校,キタウラショウガッコウ,茨城県行方市内宿358-2,,36.091042,140.508829,,0291-37-6636,,82333,茨城県,行方市,1,1,,1,,1,1,,1,939,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
19,北浦公民館,キタウラコウミンカン,茨城県行方市山田2175,,36.083744,140.533285,,0291-35-3777,,82333,茨城県,行方市,1,1,,1,,1,1,,1,146,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
20,要地区館,カナメチクカン,茨城県行方市小幡711-1,,36.077748,140.480922,,,,82333,茨城県,行方市,,,,,,,,,,8,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
21,武田地区館,タケダチクカン,茨城県行方市両宿120-3,,36.098342,140.496462,,,,82333,茨城県,行方市,,,,,,,,,,17,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
22,行方市保健センター（旧 北浦保健センター）,ナメガタシホケンセンター（キュウ キタウラホケンセンター）,茨城県行方市山田3282-10,,36.083356,140.510708,,0291-34-6200,,82333,茨城県,行方市,1,1,,1,,1,1,,1,204,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
23,繁昌地区学習センター,ハンジョウチクガクシュウセンター,茨城県行方市繁昌1180-1,,36.061441,140.519336,,,,82333,茨城県,行方市,,,,,,,,,,26,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
24,小貫地区学習センター,オヌキチクガクシュウセンター,茨城県行方市小貫1359-3,,36.11075,140.469278,,,,82333,茨城県,行方市,,,,,,,,,,20,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
25,北浦幼稚園,キタウラヨウチエン,茨城県行方市繁昌212,,36.069108,140.524082,,0291-35-2038,,82333,茨城県,行方市,,1,,1,,1,1,,1,380,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
26,市役所玉造庁舎,シヤクショタマツクリチョウシャ,茨城県行方市玉造甲404,,36.104862,140.41498,,0299-55-0111,,82333,茨城県,行方市,,,,,,,,,,188,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
27,玉造中学校,タマツクチュウガッコウ,茨城県行方市玉造甲2807,,36.102945,140.425132,,0299-55-0131,,82333,茨城県,行方市,1,1,,1,,1,1,,1,836,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
28,玉造運動場（農村環境改善センター含む）,タマツクリウンドウジョウ（ノウソンカンキョウカイゼンセンター）,茨城県行方市玉造甲3190,,36.100266,140.434485,,0299-55-3211,,82333,茨城県,行方市,1,1,,1,,1,1,,1,1102,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
29,玉造公民館,タマツクリコウミンカン,茨城県行方市玉造乙1179,,36.108452,140.414469,,0299-55-0171,,82333,茨城県,行方市,,,,,,,,,,87,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
30,霞ヶ浦ふれあいランド水の科学館,カスミガウラフレアイランドミズノカガクカン,茨城県行方市玉造甲1234,,36.096554,140.4028,,0299-55-3927,,82333,茨城県,行方市,,,,,,,,,,557,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
31,玉造小学校,タマツクリショウガッコウ,茨城県行方市玉造甲3200,,36.101159,140.436279,,0299-56-4040,,82333,茨城県,行方市,1,1,,1,,1,1,,1,247,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
32,羽生地区学習センター,ハニュウチクガクシュウセンター,茨城県行方市羽生753,,36.142439,140.384506,,,,82333,茨城県,行方市,,,,,,,,,,25,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
33,玉造西地区学習センター,タマツクリニシチクガクシュウセンター,茨城県行方市浜502,,36.108312,140.401254,,,,82333,茨城県,行方市,,,,,,,,,,41,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
34,現原地区学習センター,アラハラチクガクシュウセンター,茨城県行方市捻木347-3,,36.133869,140.419076,,,,82333,茨城県,行方市,,,,,,,,,,24,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
35,手賀地区学習センター,テガチクガクシュウセンター,茨城県行方市手賀2609,,36.084233,140.424293,,,,82333,茨城県,行方市,,,,,,,,,,54,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
36,八木蒔地区学習センター,ヤキマキチクガクシュウセンター,茨城県行方市八木蒔328-2,,36.131117,140.390211,,,,82333,茨城県,行方市,,,,,,,,,,23,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
37,玉川地区学習センター,タマカワチクガクシュウセンター,茨城県行方市井上1580,,36.06131,140.437944,,,,82333,茨城県,行方市,,,,,,,,,,41,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
38,行方市地域包括支援センター（旧 玉造保健センター）,ナメガタシチイキホウカツシエンセンター（キュウ タマツクリホケンセンター）,茨城県行方市玉造甲478-1,,36.102848,140.414649,,0299-55-0114,,82333,茨城県,行方市,,1,,1,,1,1,,1,62,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
39,図書館,トショカン,茨城県行方市玉造乙1175,,36.1082,140.414219,,0299-55-1495,,82333,茨城県,行方市,,,,,,,,,,25,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
40,玉造幼稚園,タマツクリヨウチエン,茨城県行方市玉造甲4175,,36.105957,140.420018,,0299-55-0281,,82333,茨城県,行方市,,,,,,,,,,124,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
41,茨城県立麻生高等学校,イバラキケンリツアソウコウトウガッコウ,茨城県行方市麻生1806,,35.99452,140.48895,,0299-72-0098,,82333,茨城県,行方市,,,,,,,,,,709,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
42,茨城県立玉造工業高等学校,イバラキケンリツタマツクリコウギョウコウトウガッコウ,茨城県行方市芹沢1552,,36.127687,140.441387,,0299-55-0138,,82333,茨城県,行方市,,,,,,,,,,965,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
43,茨城県白浜少年自然の家,イバラキケンシラハマショウネンシゼンノイエ,茨城県行方市白浜1466,,36.023898,140.551463,,0299-73-2345,,82333,茨城県,行方市,,,,,,,,,,1290,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
44,茨城県女性プラザ・茨城県鹿行生涯学習センター,イバラキケンジョセイプラザ・イバラキケンロッコウショウガイガクシュウセンター,茨城県行方市宇崎1389,,36.02172,140.547787,,0299-73-3877,,82333,茨城県,行方市,,,,,,,,,,490,,https://www.city.namegata.ibaraki.jp/hazardmap/map.html,
